PORT     STATE SERVICE            REASON
21/tcp   open  ftp                syn-ack
80/tcp   open  http               syn-ack
443/tcp  open  https              syn-ack
3306/tcp open  mysql              syn-ack
6662/tcp open  radmind            syn-ack
6665/tcp open  irc                syn-ack
6666/tcp open  irc                syn-ack
6667/tcp open  irc                syn-ack
6668/tcp open  irc                syn-ack
6669/tcp open  irc                syn-ack
6670/tcp open  irc                syn-ack
6671/tcp open  p4p-portal         syn-ack
6672/tcp open  vision_server      syn-ack
6673/tcp open  vision_elmd        syn-ack
6678/tcp open  vfbp               syn-ack
6679/tcp open  osaut              syn-ack
6687/tcp open  clever-ctrace      syn-ack
6688/tcp open  clever-tcpip       syn-ack
6689/tcp open  tsa                syn-ack
6690/tcp open  cleverdetect       syn-ack
6696/tcp open  babel              syn-ack
6697/tcp open  ircs-u             syn-ack
6699/tcp open  napster            syn-ack
6700/tcp open  carracho           syn-ack
6701/tcp open  carracho           syn-ack
6702/tcp open  e-design-net       syn-ack
6703/tcp open  e-design-web       syn-ack
6714/tcp open  ibprotocol         syn-ack
6715/tcp open  fibotrader-com     syn-ack
6716/tcp open  princity-agent     syn-ack
6767/tcp open  bmc-perf-agent     syn-ack
6768/tcp open  bmc-perf-mgrd      syn-ack
6769/tcp open  adi-gxp-srvprt     syn-ack
6770/tcp open  plysrv-http        syn-ack
6771/tcp open  plysrv-https       syn-ack
6777/tcp open  ntz-tracker        syn-ack
6778/tcp open  ntz-p2p-storage    syn-ack
6784/tcp open  bfd-lag            syn-ack
6785/tcp open  dgpf-exchg         syn-ack
6786/tcp open  smc-jmx            syn-ack
6787/tcp open  smc-admin          syn-ack
6788/tcp open  smc-http           syn-ack
6789/tcp open  ibm-db2-admin      syn-ack
6790/tcp open  hnmp               syn-ack
6791/tcp open  hnm                syn-ack
6801/tcp open  acnet              syn-ack
6817/tcp open  pentbox-sim        syn-ack
6831/tcp open  ambit-lm           syn-ack
6841/tcp open  netmo-default      syn-ack
6842/tcp open  netmo-http         syn-ack
6850/tcp open  iccrushmore        syn-ack
6868/tcp open  acctopus-cc        syn-ack
6881/tcp open  bittorrent-tracker syn-ack
6888/tcp open  muse               syn-ack
6900/tcp open  rtimeviewer        syn-ack
6901/tcp open  jetstream          syn-ack
6935/tcp open  ethoscan           syn-ack
6936/tcp open  xsmsvc             syn-ack
6946/tcp open  bioserver          syn-ack
6951/tcp open  otlp               syn-ack
6961/tcp open  jmact3             syn-ack
6962/tcp open  jmevt2             syn-ack
6963/tcp open  swismgr1           syn-ack
6964/tcp open  swismgr2           syn-ack
6965/tcp open  swistrap           syn-ack
6966/tcp open  swispol            syn-ack
6969/tcp open  acmsoda            syn-ack
6970/tcp open  conductor          syn-ack
6997/tcp open  MobilitySrv        syn-ack
