PORT     STATE SERVICE            REASON
21/tcp   open  ftp                syn-ack
80/tcp   open  http               syn-ack
443/tcp  open  https              syn-ack
3306/tcp open  mysql              syn-ack
6660/tcp open  unknown            syn-ack
6661/tcp open  unknown            syn-ack
6662/tcp open  radmind            syn-ack
6663/tcp open  unknown            syn-ack
6664/tcp open  unknown            syn-ack
6665/tcp open  irc                syn-ack
6666/tcp open  irc                syn-ack
6667/tcp open  irc                syn-ack
6668/tcp open  irc                syn-ack
6669/tcp open  irc                syn-ack
6670/tcp open  irc                syn-ack
6671/tcp open  p4p-portal         syn-ack
6672/tcp open  vision_server      syn-ack
6673/tcp open  vision_elmd        syn-ack
6674/tcp open  unknown            syn-ack
6675/tcp open  unknown            syn-ack
6676/tcp open  unknown            syn-ack
6677/tcp open  unknown            syn-ack
6678/tcp open  vfbp               syn-ack
6679/tcp open  osaut              syn-ack
6680/tcp open  unknown            syn-ack
6681/tcp open  unknown            syn-ack
6682/tcp open  unknown            syn-ack
6683/tcp open  unknown            syn-ack
6684/tcp open  unknown            syn-ack
6685/tcp open  unknown            syn-ack
6686/tcp open  unknown            syn-ack
6687/tcp open  clever-ctrace      syn-ack
6688/tcp open  clever-tcpip       syn-ack
6689/tcp open  tsa                syn-ack
6690/tcp open  cleverdetect       syn-ack
6691/tcp open  unknown            syn-ack
6692/tcp open  unknown            syn-ack
6693/tcp open  unknown            syn-ack
6694/tcp open  unknown            syn-ack
6695/tcp open  unknown            syn-ack
6696/tcp open  babel              syn-ack
6697/tcp open  ircs-u             syn-ack
6698/tcp open  unknown            syn-ack
6699/tcp open  napster            syn-ack
6700/tcp open  carracho           syn-ack
6701/tcp open  carracho           syn-ack
6702/tcp open  e-design-net       syn-ack
6703/tcp open  e-design-web       syn-ack
6704/tcp open  unknown            syn-ack
6705/tcp open  unknown            syn-ack
6706/tcp open  unknown            syn-ack
6707/tcp open  unknown            syn-ack
6708/tcp open  unknown            syn-ack
6709/tcp open  unknown            syn-ack
6710/tcp open  unknown            syn-ack
6711/tcp open  unknown            syn-ack
6712/tcp open  unknown            syn-ack
6713/tcp open  unknown            syn-ack
6714/tcp open  ibprotocol         syn-ack
6715/tcp open  fibotrader-com     syn-ack
6716/tcp open  princity-agent     syn-ack
6717/tcp open  unknown            syn-ack
6718/tcp open  unknown            syn-ack
6719/tcp open  unknown            syn-ack
6720/tcp open  unknown            syn-ack
6721/tcp open  unknown            syn-ack
6722/tcp open  unknown            syn-ack
6723/tcp open  unknown            syn-ack
6724/tcp open  unknown            syn-ack
6725/tcp open  unknown            syn-ack
6726/tcp open  unknown            syn-ack
6727/tcp open  unknown            syn-ack
6728/tcp open  unknown            syn-ack
6729/tcp open  unknown            syn-ack
6730/tcp open  unknown            syn-ack
6731/tcp open  unknown            syn-ack
6732/tcp open  unknown            syn-ack
6733/tcp open  unknown            syn-ack
6734/tcp open  unknown            syn-ack
6735/tcp open  unknown            syn-ack
6736/tcp open  unknown            syn-ack
6737/tcp open  unknown            syn-ack
6738/tcp open  unknown            syn-ack
6739/tcp open  unknown            syn-ack
6740/tcp open  unknown            syn-ack
6741/tcp open  unknown            syn-ack
6742/tcp open  unknown            syn-ack
6743/tcp open  unknown            syn-ack
6744/tcp open  unknown            syn-ack
6745/tcp open  unknown            syn-ack
6746/tcp open  unknown            syn-ack
6747/tcp open  unknown            syn-ack
6748/tcp open  unknown            syn-ack
6749/tcp open  unknown            syn-ack
6750/tcp open  unknown            syn-ack
6751/tcp open  unknown            syn-ack
6752/tcp open  unknown            syn-ack
6753/tcp open  unknown            syn-ack
6754/tcp open  unknown            syn-ack
6755/tcp open  unknown            syn-ack
6756/tcp open  unknown            syn-ack
6757/tcp open  unknown            syn-ack
6758/tcp open  unknown            syn-ack
6759/tcp open  unknown            syn-ack
6760/tcp open  unknown            syn-ack
6761/tcp open  unknown            syn-ack
6762/tcp open  unknown            syn-ack
6763/tcp open  unknown            syn-ack
6764/tcp open  unknown            syn-ack
6765/tcp open  unknown            syn-ack
6766/tcp open  unknown            syn-ack
6767/tcp open  bmc-perf-agent     syn-ack
6768/tcp open  bmc-perf-mgrd      syn-ack
6769/tcp open  adi-gxp-srvprt     syn-ack
6770/tcp open  plysrv-http        syn-ack
6771/tcp open  plysrv-https       syn-ack
6772/tcp open  unknown            syn-ack
6773/tcp open  unknown            syn-ack
6774/tcp open  unknown            syn-ack
6775/tcp open  unknown            syn-ack
6776/tcp open  unknown            syn-ack
6777/tcp open  ntz-tracker        syn-ack
6778/tcp open  ntz-p2p-storage    syn-ack
6779/tcp open  unknown            syn-ack
6780/tcp open  unknown            syn-ack
6781/tcp open  unknown            syn-ack
6782/tcp open  unknown            syn-ack
6783/tcp open  unknown            syn-ack
6784/tcp open  bfd-lag            syn-ack
6785/tcp open  dgpf-exchg         syn-ack
6786/tcp open  smc-jmx            syn-ack
6787/tcp open  smc-admin          syn-ack
6788/tcp open  smc-http           syn-ack
6789/tcp open  ibm-db2-admin      syn-ack
6790/tcp open  hnmp               syn-ack
6791/tcp open  hnm                syn-ack
6792/tcp open  unknown            syn-ack
6793/tcp open  unknown            syn-ack
6794/tcp open  unknown            syn-ack
6795/tcp open  unknown            syn-ack
6796/tcp open  unknown            syn-ack
6797/tcp open  unknown            syn-ack
6798/tcp open  unknown            syn-ack
6799/tcp open  unknown            syn-ack
